id,Date,Open,Close,High,Low,Shares_Traded,Turnover,created_at,created_by,updated_at,updated_by,status
66,2018-12-24,10780.9,10782.3,10649.25,10663.5,230291344,10695.6,,,,,
67,2018-12-26,10635.45,10747.5,10534.55,10729.85,271942701,12831.99,,,,,
68,2018-12-27,10817.9,10834.2,10764.45,10779.8,470160392,19119.88,,,,,
69,2018-12-28,10820.95,10893.6,10817.15,10859.9,253086507,12615.01,,,,,
70,2018-12-31,10913.2,10923.55,10853.2,10862.55,186494657,10176.13,,,,,
71,2019-01-01,10881.7,10923.6,10807.1,10910.1,159404542,8688.26,,,,,
72,2019-01-02,10868.85,10895.35,10735.05,10792.5,309665939,15352.25,,,,,
73,2019-01-03,10796.8,10814.05,10661.25,10672.25,286241745,15030.45,,,,,
74,2019-01-04,10699.7,10741.05,10628.65,10727.35,296596655,14516.74,,,,,
75,2019-01-07,10804.85,10835.95,10750.15,10771.8,269371080,12731.29,,,,,
76,2019-01-08,10786.25,10818.45,10733.25,10802.15,277697672,13433.48,,,,,
77,2019-01-09,10862.4,10870.4,10749.4,10855.15,333010535,16213.3,,,,,
78,2019-01-10,10859.35,10859.35,10801.8,10821.6,254365477,12031.26,,,,,
79,2019-01-11,10834.75,10850.15,10739.4,10794.95,260792200,13084.6,,,,,
80,2019-01-14,10807,10808,10692.35,10737.6,298774178,12732.57,,,,,
81,2019-01-15,10777.55,10896.95,10777.55,10886.8,310737078,14879.91,,,,,
82,2019-01-16,10899.65,10928.15,10876.9,10890.3,276539042,13081.63,,,,,
83,2019-01-17,10920.85,10930.65,10844.65,10905.2,271676319,13215.83,,,,,
84,2019-01-18,10914.85,10928.2,10852.2,10906.95,323814108,16408.83,,,,,
85,2019-01-21,10919.35,10987.45,10885.75,10961.85,288829125,17289.7,,,,,
86,2019-01-22,10949.8,10949.8,10864.15,10922.75,300768112,17483.62,,,,,
87,2019-01-23,10931.05,10944.8,10811.95,10831.5,298876314,14736.91,,,,,
88,2019-01-24,10844.05,10866.6,10798.65,10849.8,361082096,15298.48,,,,,
89,2019-01-25,10859.75,10931.7,10756.45,10780.55,463444758,20542.36,,,,,
90,2019-01-28,10792.45,10804.45,10630.95,10661.55,419682627,21144.33,,,,,
91,2019-01-29,10653.7,10690.35,10583.65,10652.2,356908994,18832.06,,,,,
92,2019-01-30,10702.25,10710.2,10612.85,10651.8,410107910,21214.81,,,,,
93,2019-01-31,10690.55,10838.05,10678.55,10830.95,604818027,27471.18,,,,,
94,2019-02-01,10851.35,10983.45,10813.45,10893.65,482272661,23112.37,,,,,
